client_orderid,client_custid,client_prodid,cases_ordered,units_ordered,cases_inven,units_inven,discount,discount_flag
11221,4,6,1,0,0,0,0,0
11197,4,6,0,0,0,0,0,0
11213,4,6,0,0,0,0,0,0
11197,4,7,0,0,0,0,0,0
11221,4,7,1,0,0,0,0,0
11213,4,7,0,0,0,0,0,0
11213,4,18,0,0,0,0,0,0
11221,4,18,1,0,0,0,0,0
11197,4,18,1,0,0,0,0,0
11213,4,22,0,0,0,0,0,0
11197,4,22,0,0,0,0,0,0
11221,4,22,10,0,0,0,0,0
11213,4,23,4,0,0,0,0,0
11197,4,23,4,0,0,0,0,0
11221,4,23,4,0,0,0,0,0
11221,4,24,0,0,0,0,0,0
11197,4,24,0,0,0,0,0,0
11213,4,24,1,0,0,0,0,0
11221,4,25,2,0,0,0,0,0
11213,4,25,3,0,0,0,0,0
11197,4,25,0,0,0,0,0,0
11213,4,26,0,0,0,0,0,0
11221,4,26,0,0,0,0,0,0
11197,4,26,0,0,0,0,0,0
11221,4,30,0,0,0,0,0,0
11197,4,30,0,0,0,0,0,0
11213,4,30,3,0,0,0,0,0
11197,4,32,0,0,0,0,0,0
11221,4,32,0,0,0,0,0,0
11213,4,32,0,0,0,0,0,0
11197,4,33,0,0,0,0,0,0
11213,4,33,0,0,0,0,0,0
11221,4,33,0,0,0,0,0,0
11197,4,34,0,0,0,0,0,0
11213,4,34,2,0,0,0,0,0
11221,4,34,1,0,0,0,0,0
11213,4,36,2,0,0,0,0,0
11221,4,36,2,0,0,0,0,0
11197,4,36,2,0,0,0,0,0
11221,4,40,16,0,0,0,0,0
11197,4,40,16,0,0,0,0,0
11213,4,40,8,0,0,0,0,0
11221,4,41,0,0,0,0,0,0
11197,4,41,0,0,0,0,0,0
11213,4,41,0,0,0,0,0,0
11197,4,58,4,0,0,0,0,0
11221,4,58,6,0,0,0,0,0
11213,4,58,0,0,0,0,0,0
11197,4,59,0,0,0,0,0,0
11213,4,59,0,0,0,0,0,0
11221,4,59,18,0,0,0,0,0
11213,4,60,18,0,0,0,0,0
11221,4,60,27,0,0,0,0,0
11197,4,60,27,0,0,0,0,0
11213,4,61,4,0,0,0,0,0
11197,4,61,0,0,0,0,0,0
11221,4,61,2,0,0,0,0,0
11221,4,62,2,0,0,0,0,0
11197,4,62,0,0,0,0,0,0
11213,4,62,2,0,0,0,0,0
11213,4,64,0,0,0,0,0,0
11221,4,64,1,0,0,0,0,0
11197,4,64,1,0,0,0,0,0
11197,4,66,4,0,0,0,0,0
11221,4,66,4,0,0,0,0,0
11213,4,66,0,0,0,0,0,0
11221,4,67,0,0,0,0,0,0
11213,4,67,4,0,0,0,0,0
11197,4,67,0,0,0,0,0,0
11197,4,68,7,0,0,0,0,0
11221,4,68,4,0,0,0,0,0
11213,4,68,0,0,0,0,0,0
11221,4,69,21,0,0,0,0,0
11197,4,69,98,0,0,0,0,0
11213,4,69,0,0,0,0,0,0
11197,4,70,27,0,0,0,0,0
11221,4,70,18,0,0,0,0,0
11213,4,70,0,0,0,0,0,0
11221,4,71,4,0,0,0,0,0
11197,4,71,2,0,0,0,0,0
11213,4,71,0,0,0,0,0,0
11197,4,72,3,0,0,0,0,0
11221,4,72,3,0,0,0,0,0
11213,4,72,0,0,0,0,0,0
11213,4,73,0,0,0,0,0,0
11197,4,73,7,0,0,0,0,0
11221,4,73,7,0,0,0,0,0
11221,4,74,2,0,0,0,0,0
11197,4,74,2,0,0,0,0,0
11213,4,74,0,0,0,0,0,0
11213,4,75,0,0,0,0,0,0
11221,4,75,9,0,0,0,0,0
11197,4,75,18,0,0,0,0,0
11213,4,76,0,0,0,0,0,0
11197,4,76,9,0,0,0,0,0
11221,4,76,9,0,0,0,0,0
11221,4,82,1,0,0,0,0,0
11197,4,82,1,0,0,0,0,0
11213,4,82,0,0,0,0,0,0
11213,4,83,0,0,0,0,0,0
11197,4,83,1,0,0,0,0,0
11221,4,83,0,0,0,0,0,0
11213,4,89,0,0,0,0,0,0
11221,4,89,0,0,0,0,0,0
11197,4,89,0,0,0,0,0,0
11213,4,91,2,0,0,0,0,0
11221,4,91,0,0,0,0,0,0
11197,4,91,0,0,0,0,0,0
11197,4,94,0,0,0,0,0,0
11221,4,94,0,0,0,0,0,0
11213,4,94,0,0,0,0,0,0
11213,4,96,0,0,0,0,0,0
11197,4,96,0,0,0,0,0,0
11221,4,96,4,0,0,0,0,0
11197,4,98,2,0,0,0,0,0
11221,4,98,2,0,0,0,0,0
11213,4,98,0,0,0,0,0,0
11213,4,103,0,0,0,0,0,0
11221,4,103,10,0,0,0,0,0
11197,4,103,10,0,0,0,0,0
11197,4,104,0,0,0,0,0,0
11213,4,104,0,0,0,0,0,0
11221,4,104,0,0,0,0,0,0
11197,4,105,0,0,0,0,0,0
11213,4,105,2,0,0,0,0,0
11221,4,105,0,0,0,0,0,0
11197,4,113,1,0,0,0,0,0
11221,4,113,0,0,0,0,0,0
11213,4,113,0,0,0,0,0,0
11213,4,114,2,0,0,0,0,0
11197,4,114,0,0,0,0,0,0
11221,4,114,2,0,0,0,0,0
11221,4,116,0,0,0,0,0,0
11213,4,116,0,0,0,0,0,0
11197,4,116,0,0,0,0,0,0
11221,4,117,0,0,0,0,0,0
11197,4,117,0,0,0,0,0,0
11213,4,117,2,0,0,0,0,0
11213,4,119,0,0,0,0,0,0
11221,4,119,8,0,0,0,0,0
11197,4,119,4,0,0,0,0,0
11221,4,121,0,0,0,0,0,0
11213,4,121,0,0,0,0,0,0
11197,4,121,2,0,0,0,0,0
11221,4,122,0,0,0,0,0,0
11213,4,122,0,0,0,0,0,0
11197,4,122,6,0,0,0,0,0
11197,4,123,0,0,0,0,0,0
11221,4,123,0,0,0,0,0,0
11213,4,123,1,0,0,0,0,0
11221,4,125,0,0,0,0,0,0
11197,4,125,2,0,0,0,0,0
11213,4,125,0,0,0,0,0,0
11213,4,128,0,0,0,0,0,0
11197,4,128,4,0,0,0,0,0
11221,4,128,4,0,0,0,0,0
11221,4,130,1,0,0,0,0,0
11197,4,130,1,0,0,0,0,0
11213,4,130,0,0,0,0,0,0
11213,4,131,0,0,0,0,0,0
11221,4,131,4,0,0,0,0,0
11197,4,131,4,0,0,0,0,0
11213,4,133,0,0,0,0,0,0
11221,4,133,0,0,0,0,0,0
11197,4,133,2,0,0,0,0,0
11197,4,138,1,0,0,0,0,0
11221,4,138,1,0,0,0,0,0
11213,4,138,0,0,0,0,0,0
11221,4,141,0,0,0,0,0,0
11213,4,141,2,0,0,0,0,0
11197,4,141,0,0,0,0,0,0
11197,4,144,6,0,0,0,0,0
11221,4,144,6,0,0,0,0,0
11213,4,144,6,0,0,0,0,0
11221,4,145,2,0,0,0,0,0
11197,4,145,4,0,0,0,0,0
11213,4,145,0,0,0,0,0,0
11197,4,146,0,0,0,0,0,0
11213,4,146,1,0,0,0,0,0
11221,4,146,0,0,0,0,0,0
11197,4,147,6,0,0,0,0,0
11221,4,147,0,0,0,0,0,0
11213,4,147,0,0,0,0,0,0
11221,4,148,2,0,0,0,0,0
11213,4,148,0,0,0,0,0,0
11197,4,148,0,0,0,0,0,0
11197,4,149,30,0,0,0,0,0
11221,4,149,20,0,0,0,0,0
11213,4,149,20,0,0,0,0,0
11197,4,150,0,0,0,0,0,0
11221,4,150,52,0,0,0,0,0
11213,4,150,0,0,0,0,0,0
11197,4,151,0,0,0,0,0,0
11213,4,151,3,0,0,0,0,0
11221,4,151,0,0,0,0,0,0
11197,4,160,2,0,0,0,0,0
11213,4,160,0,0,0,0,0,0
11221,4,160,2,0,0,0,0,0
11221,4,161,2,0,0,0,0,0
11197,4,161,4,0,0,0,0,0
11213,4,161,0,0,0,0,0,0
11221,4,162,1,0,0,0,0,0
11213,4,162,1,0,0,0,0,0
11197,4,162,0,0,0,0,0,0
11213,4,164,0,0,0,0,0,0
11221,4,164,3,0,0,0,0,0
11197,4,164,4,0,0,0,0,0
11221,4,166,1,0,0,0,0,0
11197,4,166,2,0,0,0,0,0
11213,4,166,0,0,0,0,0,0
11221,4,185,0,0,0,0,0,0
11213,4,185,0,0,0,0,0,0
11197,4,185,1,0,0,0,0,0
11213,4,186,0,0,0,0,0,0
11221,4,186,1,0,0,0,0,0
11197,4,186,1,0,0,0,0,0
11213,4,196,0,0,0,0,0,0
11221,4,196,1,0,0,0,0,0
11197,4,196,0,0,0,0,0,0
11213,4,197,2,0,0,0,0,0
11197,4,197,2,0,0,0,0,0
11221,4,197,2,0,0,0,0,0
11221,4,207,1,0,0,0,0,0
11213,4,207,0,0,0,0,0,0
11197,4,207,2,0,0,0,0,0
11221,4,228,1,0,0,0,0,0
11197,4,228,1,0,0,0,0,0
11213,4,228,0,0,0,0,0,0
11221,4,230,1,0,0,0,0,0
11213,4,230,0,0,0,0,0,0
11197,4,230,0,0,0,0,0,0
11221,4,243,0,0,0,0,0,0
11197,4,243,1,0,0,0,0,0
11213,4,243,0,0,0,0,0,0
11221,4,245,0,0,0,0,0,0
