row_id,client_orderid,client_custid,client_prodid,cases_ordered,units_ordered,cases_inven,units_inven,discount,discount_flag,order_date,delivery_date,pc_count
540,20411,7,16,1,0,0,0,0.0,0,2018-08-13,2018-08-13,1.0
542,20411,7,27,0,0,0,0,0.0,0,2018-08-13,2018-08-13,1.0
545,20411,7,58,2,0,0,0,0.0,0,2018-08-13,2018-08-13,1.0
546,20411,7,60,0,0,0,0,0.0,0,2018-08-13,2018-08-13,1.0
549,20411,7,62,0,0,0,0,0.0,0,2018-08-13,2018-08-13,1.0
551,20411,7,64,0,0,0,0,0.0,0,2018-08-13,2018-08-13,1.0
553,20411,7,66,2,0,0,0,0.0,0,2018-08-13,2018-08-13,1.0
554,20411,7,68,1,0,0,0,0.0,0,2018-08-13,2018-08-13,1.0
556,20411,7,71,1,0,0,0,0.0,0,2018-08-13,2018-08-13,1.0
559,20411,7,77,0,0,0,0,0.0,0,2018-08-13,2018-08-13,1.0
560,20411,7,78,20,0,0,0,0.0,0,2018-08-13,2018-08-13,2.0
563,20411,7,95,1,0,0,0,0.0,0,2018-08-13,2018-08-13,1.0
565,20411,7,103,2,0,0,0,0.0,0,2018-08-13,2018-08-13,1.0
566,20411,7,105,1,0,0,0,0.0,0,2018-08-13,2018-08-13,2.0
568,20411,7,113,5,0,0,0,0.0,0,2018-08-13,2018-08-13,1.0
571,20411,7,127,0,0,0,0,0.0,0,2018-08-13,2018-08-13,1.0
572,20411,7,130,0,0,0,0,0.0,0,2018-08-13,2018-08-13,1.0
574,20411,7,131,0,0,0,0,0.0,0,2018-08-13,2018-08-13,1.0
577,20411,7,135,1,0,0,0,0.0,0,2018-08-13,2018-08-13,2.0
578,20411,7,137,1,0,0,0,0.0,0,2018-08-13,2018-08-13,1.0
581,20411,7,160,1,0,0,0,0.0,0,2018-08-13,2018-08-13,2.0
583,20411,7,209,10,0,0,0,0.0,0,2018-08-13,2018-08-13,2.0
584,20411,7,524,0,0,0,0,0.0,0,2018-08-13,2018-08-13,1.0
587,20411,7,1316,1,0,0,0,0.0,0,2018-08-13,2018-08-13,2.0
541,20353,7,16,0,0,0,0,0.0,0,2018-08-06,2018-08-06,1.0
543,20353,7,27,1,0,0,0,0.0,0,2018-08-06,2018-08-06,1.0
544,20353,7,58,0,0,0,0,0.0,0,2018-08-06,2018-08-06,1.0
547,20353,7,60,10,0,0,0,0.0,0,2018-08-06,2018-08-06,1.0
548,20353,7,62,3,0,0,0,0.0,0,2018-08-06,2018-08-06,1.0
550,20353,7,64,2,0,0,0,0.0,0,2018-08-06,2018-08-06,1.0
552,20353,7,66,0,0,0,0,0.0,0,2018-08-06,2018-08-06,1.0
555,20353,7,68,0,0,0,0,0.0,0,2018-08-06,2018-08-06,1.0
557,20353,7,71,0,0,0,0,0.0,0,2018-08-06,2018-08-06,1.0
558,20353,7,77,8,0,0,0,0.0,0,2018-08-06,2018-08-06,1.0
561,20353,7,78,30,0,0,0,0.0,0,2018-08-06,2018-08-06,2.0
562,20353,7,95,0,0,0,0,0.0,0,2018-08-06,2018-08-06,1.0
564,20353,7,103,0,0,0,0,0.0,0,2018-08-06,2018-08-06,1.0
567,20353,7,105,2,0,0,0,0.0,0,2018-08-06,2018-08-06,2.0
569,20353,7,113,0,0,0,0,0.0,0,2018-08-06,2018-08-06,1.0
570,20353,7,127,1,0,0,0,0.0,0,2018-08-06,2018-08-06,1.0
573,20353,7,130,2,0,0,0,0.0,0,2018-08-06,2018-08-06,1.0
575,20353,7,131,20,0,0,0,0.0,0,2018-08-06,2018-08-06,1.0
576,20353,7,135,1,0,0,0,0.0,0,2018-08-06,2018-08-06,2.0
579,20353,7,137,0,0,0,0,0.0,0,2018-08-06,2018-08-06,1.0
580,20353,7,160,1,0,0,0,0.0,0,2018-08-06,2018-08-06,2.0
582,20353,7,209,1,0,0,0,0.0,0,2018-08-06,2018-08-06,2.0
585,20353,7,524,1,0,0,0,0.0,0,2018-08-06,2018-08-06,1.0
586,20353,7,1316,1,0,0,0,0.0,0,2018-08-06,2018-08-06,2.0
2,11213,4,6,0,0,0,0,0.0,0,2018-08-14,2018-08-14,1.0
5,11213,4,7,0,0,0,0,0.0,0,2018-08-14,2018-08-14,1.0
6,11213,4,18,0,0,0,0,0.0,0,2018-08-14,2018-08-14,2.0
9,11213,4,22,0,0,0,0,0.0,0,2018-08-14,2018-08-14,1.0
17,11213,4,24,1,0,0,0,0.0,0,2018-08-14,2018-08-14,1.0
19,11213,4,25,3,0,0,0,0.0,0,2018-08-14,2018-08-14,2.0
21,11213,4,26,0,0,0,0,0.0,0,2018-08-14,2018-08-14,0.0
26,11213,4,30,3,0,0,0,0.0,0,2018-08-14,2018-08-14,1.0
29,11213,4,32,0,0,0,0,0.0,0,2018-08-14,2018-08-14,0.0
31,11213,4,33,0,0,0,0,0.0,0,2018-08-14,2018-08-14,0.0
34,11213,4,34,2,0,0,0,0.0,0,2018-08-14,2018-08-14,2.0
44,11213,4,41,0,0,0,0,0.0,0,2018-08-14,2018-08-14,0.0
47,11213,4,58,0,0,0,0,0.0,0,2018-08-14,2018-08-14,2.0
49,11213,4,59,0,0,0,0,0.0,0,2018-08-14,2018-08-14,1.0
54,11213,4,61,4,0,0,0,0.0,0,2018-08-14,2018-08-14,2.0
59,11213,4,62,2,0,0,0,0.0,0,2018-08-14,2018-08-14,2.0
60,11213,4,64,0,0,0,0,0.0,0,2018-08-14,2018-08-14,2.0
65,11213,4,66,0,0,0,0,0.0,0,2018-08-14,2018-08-14,2.0
67,11213,4,67,4,0,0,0,0.0,0,2018-08-14,2018-08-14,1.0
71,11213,4,68,0,0,0,0,0.0,0,2018-08-14,2018-08-14,2.0
83,11213,4,72,0,0,0,0,0.0,0,2018-08-14,2018-08-14,2.0
84,11213,4,73,0,0,0,0,0.0,0,2018-08-14,2018-08-14,2.0
89,11213,4,74,0,0,0,0,0.0,0,2018-08-14,2018-08-14,2.0
90,11213,4,75,0,0,0,0,0.0,0,2018-08-14,2018-08-14,2.0
93,11213,4,76,0,0,0,0,0.0,0,2018-08-14,2018-08-14,2.0
98,11213,4,82,0,0,0,0,0.0,0,2018-08-14,2018-08-14,2.0
99,11213,4,83,0,0,0,0,0.0,0,2018-08-14,2018-08-14,1.0
102,11213,4,89,0,0,0,0,0.0,0,2018-08-14,2018-08-14,0.0
105,11213,4,91,2,0,0,0,0.0,0,2018-08-14,2018-08-14,1.0
110,11213,4,94,0,0,0,0,0.0,0,2018-08-14,2018-08-14,0.0
111,11213,4,96,0,0,0,0,0.0,0,2018-08-14,2018-08-14,1.0
116,11213,4,98,0,0,0,0,0.0,0,2018-08-14,2018-08-14,2.0
117,11213,4,103,0,0,0,0,0.0,0,2018-08-14,2018-08-14,2.0
