row_id,client_orderid,client_custid,client_prodid,cases_ordered,units_ordered,cases_inven,units_inven,discount,discount_flag,order_date,delivery_date,pc_count
12,11213,4,23,4,0,0,0,0.0,0,2018-08-14,2018-08-14,3.0
36,11213,4,36,2,0,0,0,0.0,0,2018-08-14,2018-08-14,3.0
41,11213,4,40,8,0,0,0,0.0,0,2018-08-14,2018-08-14,3.0
51,11213,4,60,18,0,0,0,0.0,0,2018-08-14,2018-08-14,3.0
74,11213,4,69,5,0,0,0,0.0,1,2018-08-14,2018-08-14,3.0
77,11213,4,70,3,0,0,0,0.0,1,2018-08-14,2018-08-14,3.0
80,11213,4,71,3,0,0,0,0.0,1,2018-08-14,2018-08-14,3.0
173,11213,4,144,6,0,0,0,0.0,0,2018-08-14,2018-08-14,3.0
188,11213,4,149,20,0,0,0,0.0,0,2018-08-14,2018-08-14,3.0
219,11213,4,197,2,0,0,0,0.0,0,2018-08-14,2018-08-14,3.0
255,11213,4,296,2,0,0,0,0.0,0,2018-08-14,2018-08-14,3.0
285,11213,4,378,10,0,0,0,0.0,0,2018-08-14,2018-08-14,3.0
365,11213,4,554,7,0,0,0,0.0,0,2018-08-14,2018-08-14,3.0
390,11213,4,651,1,0,0,0,0.0,0,2018-08-14,2018-08-14,3.0
470,11213,4,1116,4,0,0,0,0.0,0,2018-08-14,2018-08-14,3.0
478,11213,4,1191,10,0,0,0,0.0,0,2018-08-14,2018-08-14,3.0
497,11213,4,1339,1,0,0,0,0.0,0,2018-08-14,2018-08-14,3.0
510,11213,4,1349,9,0,0,0,0.0,0,2018-08-14,2018-08-14,3.0
537,11213,4,1474,3,0,0,0,0.0,0,2018-08-14,2018-08-14,3.0
14,11221,4,23,4,0,0,0,0.0,0,2018-08-16,2018-08-16,3.0
37,11221,4,36,2,0,0,0,0.0,0,2018-08-16,2018-08-16,3.0
39,11221,4,40,16,0,0,0,0.0,0,2018-08-16,2018-08-16,3.0
52,11221,4,60,27,0,0,0,0.0,0,2018-08-16,2018-08-16,3.0
72,11221,4,69,21,0,0,0,0.0,1,2018-08-16,2018-08-16,3.0
76,11221,4,70,18,0,0,0,0.0,1,2018-08-16,2018-08-16,3.0
78,11221,4,71,4,0,0,0,0.0,1,2018-08-16,2018-08-16,3.0
172,11221,4,144,6,0,0,0,0.0,0,2018-08-16,2018-08-16,3.0
187,11221,4,149,20,0,0,0,0.0,0,2018-08-16,2018-08-16,3.0
221,11221,4,197,2,0,0,0,0.0,0,2018-08-16,2018-08-16,3.0
256,11221,4,296,3,0,0,0,0.0,0,2018-08-16,2018-08-16,3.0
286,11221,4,378,10,0,0,0,0.0,0,2018-08-16,2018-08-16,3.0
366,11221,4,554,49,0,0,0,0.0,0,2018-08-16,2018-08-16,3.0
391,11221,4,651,1,0,0,0,0.0,0,2018-08-16,2018-08-16,3.0
471,11221,4,1116,4,0,0,0,0.0,0,2018-08-16,2018-08-16,3.0
479,11221,4,1191,20,0,0,0,0.0,0,2018-08-16,2018-08-16,3.0
496,11221,4,1339,1,0,0,0,0.0,0,2018-08-16,2018-08-16,3.0
509,11221,4,1349,18,0,0,0,0.0,0,2018-08-16,2018-08-16,3.0
539,11221,4,1474,3,0,0,0,0.0,0,2018-08-16,2018-08-16,3.0
13,11197,4,23,4,0,0,0,0.0,0,2018-08-09,2018-08-09,3.0
38,11197,4,36,2,0,0,0,0.0,0,2018-08-09,2018-08-09,3.0
40,11197,4,40,16,0,0,0,0.0,0,2018-08-09,2018-08-09,3.0
53,11197,4,60,27,0,0,0,0.0,0,2018-08-09,2018-08-09,3.0
73,11197,4,69,98,0,0,0,0.0,1,2018-08-09,2018-08-09,3.0
75,11197,4,70,27,0,0,0,0.0,1,2018-08-09,2018-08-09,3.0
79,11197,4,71,2,0,0,0,0.0,1,2018-08-09,2018-08-09,3.0
171,11197,4,144,6,0,0,0,0.0,0,2018-08-09,2018-08-09,3.0
186,11197,4,149,30,0,0,0,0.0,0,2018-08-09,2018-08-09,3.0
220,11197,4,197,2,0,0,0,0.0,0,2018-08-09,2018-08-09,3.0
254,11197,4,296,2,0,0,0,0.0,0,2018-08-09,2018-08-09,3.0
284,11197,4,378,10,0,0,0,0.0,0,2018-08-09,2018-08-09,3.0
367,11197,4,554,49,0,0,0,0.0,0,2018-08-09,2018-08-09,3.0
389,11197,4,651,1,0,0,0,0.0,0,2018-08-09,2018-08-09,3.0
469,11197,4,1116,4,0,0,0,0.0,0,2018-08-09,2018-08-09,3.0
480,11197,4,1191,20,0,0,0,0.0,0,2018-08-09,2018-08-09,3.0
498,11197,4,1339,1,0,0,0,0.0,0,2018-08-09,2018-08-09,3.0
508,11197,4,1349,27,0,0,0,0.0,0,2018-08-09,2018-08-09,3.0
538,11197,4,1474,2,0,0,0,0.0,0,2018-08-09,2018-08-09,3.0
